,Open,High,Low,Close,Volume,OpenInterest
2020-12-31 10:47:00,276.2,276.2,276.1,276.15,35499.0,0.0
2020-12-31 10:48:00,276.15,276.2,276.05,276.1,27511.0,0.0
2020-12-31 10:49:00,276.1,276.15,276.05,276.05,20231.0,0.0
2020-12-31 10:50:00,276.05,276.1,275.9,276.05,62765.0,0.0
2020-12-31 10:51:00,275.9,276.05,275.8,276.0,53718.0,0.0
2020-12-31 10:52:00,276.0,276.05,275.85,275.9,49607.0,0.0
2020-12-31 10:53:00,275.95,276.0,275.7,275.8,75562.0,0.0
2020-12-31 10:54:00,275.75,275.85,275.05,275.05,370697.0,0.0
2020-12-31 10:55:00,275.1,275.45,274.85,275.45,383772.0,0.0
2020-12-31 10:56:00,275.4,275.65,275.4,275.65,35167.0,0.0
2020-12-31 10:57:00,275.55,275.75,275.55,275.6,77186.0,0.0
2020-12-31 10:58:00,275.55,275.7,275.5,275.55,26979.0,0.0
2020-12-31 10:59:00,275.55,275.75,275.5,275.6,39372.0,0.0
2020-12-31 11:00:00,275.55,275.7,275.5,275.6,63714.0,0.0
2020-12-31 11:01:00,275.6,275.65,275.5,275.55,35313.0,0.0
2020-12-31 11:02:00,275.5,275.55,275.4,275.4,56285.0,0.0
2020-12-31 11:03:00,275.4,275.55,275.4,275.5,34250.0,0.0
2020-12-31 11:04:00,275.5,275.75,275.5,275.6,48763.0,0.0
2020-12-31 11:05:00,275.6,275.75,275.6,275.65,27737.0,0.0
2020-12-31 11:06:00,275.6,275.85,275.6,275.75,45611.0,0.0
2020-12-31 11:07:00,275.75,275.8,275.7,275.7,8966.0,0.0
2020-12-31 11:08:00,275.7,275.75,275.5,275.5,51333.0,0.0
2020-12-31 11:09:00,275.55,275.65,275.45,275.6,35236.0,0.0
2020-12-31 11:10:00,275.6,275.65,275.5,275.6,26150.0,0.0
2020-12-31 11:11:00,275.65,275.75,275.55,275.65,25664.0,0.0
2020-12-31 11:12:00,275.6,275.7,275.6,275.65,14712.0,0.0
2020-12-31 11:13:00,275.6,275.7,275.55,275.55,37470.0,0.0
2020-12-31 11:14:00,275.55,275.65,275.5,275.6,42072.0,0.0
2020-12-31 11:15:00,275.6,275.7,275.55,275.6,13991.0,0.0
2020-12-31 11:16:00,275.65,275.65,275.55,275.6,30140.0,0.0
2020-12-31 11:17:00,275.6,275.6,275.5,275.55,36406.0,0.0
2020-12-31 11:18:00,275.55,275.65,275.55,275.65,31847.0,0.0
2020-12-31 11:19:00,275.65,275.65,275.55,275.55,23642.0,0.0
2020-12-31 11:20:00,275.55,275.6,275.5,275.55,10775.0,0.0
2020-12-31 11:21:00,275.55,275.55,275.5,275.5,19927.0,0.0
2020-12-31 11:22:00,275.55,275.6,275.5,275.55,15032.0,0.0
2020-12-31 11:23:00,275.55,275.65,275.55,275.55,37626.0,0.0
2020-12-31 11:24:00,275.6,275.75,275.55,275.65,22301.0,0.0
2020-12-31 11:25:00,275.65,275.8,275.55,275.6,26090.0,0.0
2020-12-31 11:26:00,275.6,275.75,275.6,275.65,39212.0,0.0
2020-12-31 11:27:00,275.7,275.75,275.65,275.7,12426.0,0.0
2020-12-31 11:28:00,275.65,275.7,275.5,275.55,45106.0,0.0
2020-12-31 11:29:00,275.6,275.6,275.25,275.25,84274.0,0.0
2020-12-31 11:30:00,275.3,275.35,275.2,275.25,35377.0,0.0
2020-12-31 11:31:00,275.25,275.5,275.25,275.4,28793.0,0.0
2020-12-31 11:32:00,275.45,275.5,275.4,275.5,28252.0,0.0
2020-12-31 11:33:00,275.45,275.6,275.45,275.55,11401.0,0.0
2020-12-31 11:34:00,275.55,275.55,275.4,275.4,47050.0,0.0
2020-12-31 11:35:00,275.4,275.5,275.3,275.3,24089.0,0.0
2020-12-31 11:36:00,275.3,275.4,275.3,275.35,11373.0,0.0
2020-12-31 11:37:00,275.35,275.5,275.35,275.4,16370.0,0.0
2020-12-31 11:38:00,275.4,275.55,275.35,275.45,20616.0,0.0
2020-12-31 11:39:00,275.5,275.55,275.4,275.4,23062.0,0.0
2020-12-31 11:40:00,275.5,275.5,275.25,275.25,44488.0,0.0
2020-12-31 11:41:00,275.25,275.3,275.15,275.2,33933.0,0.0
2020-12-31 11:42:00,275.2,275.3,275.15,275.25,24550.0,0.0
2020-12-31 11:43:00,275.25,275.35,275.2,275.3,22712.0,0.0
2020-12-31 11:44:00,275.3,275.3,275.2,275.2,19199.0,0.0
2020-12-31 11:45:00,275.25,275.25,275.0,275.15,96010.0,0.0
2020-12-31 11:46:00,275.2,275.2,275.0,275.0,36625.0,0.0
2020-12-31 11:47:00,275.05,275.15,275.0,275.1,40399.0,0.0
2020-12-31 11:48:00,275.1,275.15,275.05,275.05,52985.0,0.0
2020-12-31 11:49:00,275.1,275.2,275.1,275.15,24719.0,0.0
2020-12-31 11:50:00,275.15,275.3,275.1,275.15,29167.0,0.0
2020-12-31 11:51:00,275.2,275.35,275.15,275.25,31486.0,0.0
2020-12-31 11:52:00,275.2,275.35,275.1,275.2,64384.0,0.0
2020-12-31 11:53:00,275.1,275.25,274.6,274.75,310145.0,0.0
2020-12-31 11:54:00,274.75,275.0,274.75,274.9,54447.0,0.0
2020-12-31 11:55:00,274.9,274.95,274.7,274.75,61778.0,0.0
2020-12-31 11:56:00,274.75,274.9,274.75,274.85,61679.0,0.0
2020-12-31 11:57:00,274.8,274.85,274.7,274.75,30531.0,0.0
2020-12-31 11:58:00,274.7,274.7,274.5,274.6,104454.0,0.0
2020-12-31 11:59:00,274.6,274.65,274.5,274.5,42595.0,0.0
2020-12-31 12:00:00,274.6,274.65,274.4,274.4,79627.0,0.0
2020-12-31 12:01:00,274.35,274.5,274.3,274.4,50880.0,0.0
2020-12-31 12:02:00,274.45,274.6,274.4,274.55,58093.0,0.0
2020-12-31 12:03:00,274.55,274.7,274.5,274.6,33186.0,0.0
2020-12-31 12:04:00,274.6,274.8,274.55,274.65,74572.0,0.0
2020-12-31 12:05:00,274.6,274.7,274.2,274.25,113058.0,0.0
2020-12-31 12:06:00,274.25,274.35,274.2,274.3,30971.0,0.0
2020-12-31 12:07:00,274.3,274.35,274.1,274.1,85640.0,0.0
2020-12-31 12:08:00,274.1,274.2,273.85,273.95,268109.0,0.0
2020-12-31 12:09:00,274.0,274.1,273.9,273.95,98836.0,0.0
2020-12-31 12:10:00,273.95,274.2,273.9,274.15,55352.0,0.0
2020-12-31 12:11:00,274.15,274.25,274.05,274.2,49074.0,0.0
2020-12-31 12:12:00,274.15,274.25,274.1,274.1,62808.0,0.0
2020-12-31 12:13:00,274.1,274.2,274.1,274.15,17870.0,0.0
2020-12-31 12:14:00,274.15,274.25,273.85,274.05,207917.0,0.0
2020-12-31 12:15:00,274.0,274.15,273.9,273.95,27259.0,0.0
2020-12-31 12:16:00,273.9,274.15,273.9,274.0,64881.0,0.0
2020-12-31 12:17:00,274.05,274.15,274.0,274.1,27110.0,0.0
2020-12-31 12:18:00,274.2,274.2,274.15,274.15,120714.0,0.0
2020-12-31 12:19:00,274.15,274.35,274.15,274.3,46527.0,0.0
