,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
3351,945665,3694,VINDHYATEL,VINDHYA TELELINKS,0.0,,0.0,0.05,1,EQ,NSE,NSE
3352,1444609,5643,VINNY-SM,,0.0,,0.0,0.05,3000,EQ,NSE,NSE
3353,4306177,16821,VINYLINDIA,VINYL CHEMICALS (I).,0.0,,0.0,0.05,1,EQ,NSE,NSE
3354,3799809,14843,VIPCLOTHNG,VIP CLOTHING,0.0,,0.0,0.05,1,EQ,NSE,NSE
3355,947969,3703,VIPIND,VIP INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
3356,2156545,8424,VIPULLTD,VIPUL,0.0,,0.0,0.05,1,EQ,NSE,NSE
3357,1080577,4221,VISAKAIND,VISAKA INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
3358,3403521,13295,VISASTEEL,VISA STEEL,0.0,,0.0,0.05,1,EQ,NSE,NSE
3359,3013889,11773,VISHAL,VISHAL FABRICS,0.0,,0.0,0.05,1,EQ,NSE,NSE
3360,1768449,6908,VISHNU,VISHNU CHEMICALS,0.0,,0.0,0.05,1,EQ,NSE,NSE
3361,3507713,13702,VISHWARAJ,VISHWARAJ SUGAR IND,0.0,,0.0,0.05,1,EQ,NSE,NSE
3362,7649537,29881,VIVIDHA-BE,VISAGAR POLYTEX,0.0,,0.0,0.05,1,EQ,NSE,NSE
3363,3063041,11965,VIVIMEDLAB,VIVIMED LABS,0.0,,0.0,0.05,1,EQ,NSE,NSE
3364,951041,3715,VLSFINANCE,VLS FINANCE,0.0,,0.0,0.05,1,EQ,NSE,NSE
3365,7496705,29284,VMART,VMART RETAIL,0.0,,0.0,0.05,1,EQ,NSE,NSE
3366,3475713,13577,VOLTAMP,VOLTAMP TRANSFORMERS,0.0,,0.0,0.05,1,EQ,NSE,NSE
3367,951809,3718,VOLTAS,VOLTAS,0.0,,0.0,0.05,1,EQ,NSE,NSE
3368,2226177,8696,VRLLOG,VRL LOGISTICS,0.0,,0.0,0.05,1,EQ,NSE,NSE
3369,5369089,20973,VSCL-SM,,0.0,,0.0,0.05,3000,EQ,NSE,NSE
3370,6929153,27067,VSSL,VARDHMAN SPC STEEL,0.0,,0.0,0.05,1,EQ,NSE,NSE
3371,953345,3724,VSTIND,VST INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
3372,6218753,24292,VSTTILLERS,VST TILLERS TRACTORS,0.0,,0.0,0.05,1,EQ,NSE,NSE
3373,530689,2073,VTL,VARDHMAN TEXTILES,0.0,,0.0,0.05,1,EQ,NSE,NSE
3374,5168129,20188,WABAG,VA TECH WABAG,0.0,,0.0,0.05,1,EQ,NSE,NSE
